session_number,real_date,players,barovian_time,location,summary
1,24-Jul-24,"Zerio, Tuka, Wael, Tinkertop, Castor","Day 1-2: Eyule 14th - 15th, year 735 of Barovian Calendar",Eastern Barovian Gate,"- The characters stop to rest at the Witches Teat tavern, where they meet York the barman and Lungari, a vistani wine merchant on his way to Barovia - Lungari hearing their destination employes them as an escort - In the morning they make their way through the local forest, defend the wolf attack, loosing their donkey in the process; while the mists start to rise, Lungari hurries the party towards the Gates of Barovia - Evening comes and the party arrive at the gates - there they make acquintance with Lungari’s friends, Zintori and other 2 members of a Vallaki Vistani clan; they camp, tell storries, sing songs, eat and drink as guests of the Vistani - Unfortunately, the food and drink were drugged - only Tuka remains semi-concsious to realize the party are the target of robbery - all of their posessions (not on them) taken, including weapons and provisions and left tied to fend for themselves, while Zintori, Lungari and friends escape to Barovia - While on their bellies, the party is ambushed by a familiar wolf pack - many more in numbers - defenceless they barely survive the attack, while being greeted by a giant DIre Wolf who speaks to the party with human tongue - taunting them and inviting to step into the gates and into his domain - The party run through the gates, while they crash behind them; mists envelope the wall and gates and in front of them - decaying old svalich road leading west through the Svalich woods. - **200XP each** already distributed *(50XP x 4 wolves defeated; 50XP x 12 wolves surviving / 2 + 600XP bandit captain Zentori and gang / 2 + 200XP finding and entering the Barovia = 200XP + 300XP + 300XP + 200XP = 1000XP)*"
2,02-Aug-24,"Zerio, Tuka, Wael, Tinkertop, Castor","Day 2: Eyule 15th, year 735 of Barovian Calendar (morning - late afternoon)",Eastern Barovian Gate; Death House 3rd floor (mid point between village of Barovia and the Eastern Barovian Gate),"- The party run through the gates, while they crash behind them; mists envelope the wall and gates and in front of them - decaying old svalich road leading west through the Svalich woods; one is missing from their ranks - Castor, consumed by the mist forever - The party orient themselves and start salvaging and moving Westward - On their way they find a mangled body of a man, dead for several days - a letter on him tells them to stay clear of Barovia and that his daughter is being attacked by a fiend, a vampyre and is in dire need of rescue, signed by Kolyan Indirovich, burgomaster of the village of Barovia - As they hear wolves howling nearing their location, they decide to run for it - at some point they find a crossroad - with a trail leading to the North - they decide to check that location and find a mansion that seems to be populated, with sounds of dinner and lights from the foggy windows - As they enter the mansion, soon they realize they are trapped by the mists and there are no leaving souls inside, but the rats in the walls. They traverse the 1st and 2nd floors w/o any major setbacks - They find out that the mansion is owned by nobles - Durst family; they find out they had 2 smaller children - a girl and a boy; and also a newborn child - After finding a secret room behind the library, they realize the Durst family were into occult and strange sacrificial rituals; but also that they worshipped Strahd himself - something Strahd tried dissuade them from with a not so pleasant letter - They find a bloodstain in the servants room undre the bed - indicating something sinister happened there - They follow the lead to the 3rd floor - where the delapidation starts to be more pronounced - the furniture is decaying, cobwebs covering the walls, no active lights - they are ambushed by a set of armor, similar to the ones they seen on the 2nd floor, but this one alive and seeking the party’s demise - **200XP each** already distributed *(100XP finding the burgomaster’s servant body + 200XP successfully navigating and avoiding danger on the Svalich Road - i.e. escaped dire wolf encounter + 100XP finding the Death House + 200XP finding secret room on the 2nd floor of the Death House + 200XP animated armor defeated = 800XP)* - Total so far: 400XP / character"
3,07-Aug-24,"Zerio, Tuka, Wael, Tinkertop","Day 2-3: Eyule 15th-16th, year 735 of Barovian Calendar (night)",Death House 3rd floor/Attic > Death House Catacombs,"- The party takes a break to level up on the 3rd floor - Tinkertop is transferred to a different floor by the malice of the House - They also see a crying nursemaid ghost and a package looking like a baby roll that Zerio takes with him - The party regroup, find some treasure and then run for their lives from another animated armor through a secret door to the attic - In the attic they meet the Durst children that died of starvation in their room - they befriend them and take them (occupying 2 toys) with them - They take a short rest and Tuka inscribes his star charts to use as his arcane focus - They discover a secret staircase leading to the house catacombs - a Durst cult encampment - There they hear a clear chanting permenating the whole catacombs - There they fight 4 ghouls and decide to take a long rest in the Durst children room protected by the wards of the children’s spirits - **400XP each** already distributed *(1600XP total)* - Total so far: 800XP / character"
4,14-Aug-24,"Zerio, Tuka, Wael, Tinkertop","Day 3: Eyule 16th, year 735 of Barovian Calendar (morning)",Death House Catacombs and Dungeons,"- The party takes a long rest in the children’s attic room - protected by the spirits of Rose and Thorn - Tuka motivates the party to see the light in this darkness and help those in need by exploring further into the dungeons and uncovering the houses secrets and defeating the evil within - The party delves deeper into the catacombs, finding living quarters of the cult as well as a well - at the bottom of it a strange otherwordly puzzle box - After figuring it out, inside they find an undead black cat that becomes the party’s familiar - and it’s totem an otherwordly strange tiara - Following the cultists chants the party barely escaping a pit trap, they are attacked by a swarm of centipedes; escaping the swarm, they decide to explore before unexplored space from last session only to encounter an angry grick - they defeat it - After descending into the dungeons - the chants become very loud and clear “He is the ancient! He is the Land!”; they explore the further into the prison and find a secret door into the ritual chamber - on a ritual dias they find bones of a child (Walter) that was sacrificed by the cult to the Beast - The party refuses to make the sacrifice to the Beast, the Beast awakens and attacks the party - the party comes out victorious"
5,28-Aug-24,"Zerio, Tuka, Wael","Day 3: Eyule 16th, year 735 of Barovian Calendar (late afternoon)","Village of Barovia, Blood on the Vine tavern","- The party refuses to make the sacrifice to the Beast, the Beast awakens and attacks the party - the party comes out victorious - The party make their way back to the house level of the house - the house awakens and attacks the party with all of its might - the party miraculously escape the house and its mists - The party takes a rest to give a proper burial to Walter, Rose and Thorn Durst - The party reach the Village of Barovia by mid-day and see the effects of living under the shadow of castle Ravenloft and its ruler, Strahd the devil, it’s not a big secret that Strahd is a bloodsucking monster that feeds upon the villagers - They also visit the Mad Mary and discover about her 2 daughters - one disapearing a year ago in the Svailich woods, and one just several days ago, Gertruda, a protected child who wasn’t allowed out of the house a lot out of fear; they obtain her Blinsky doll and are asked to lookout for Gertruda and give her the doll and ask her to come back to her mama - They meet Perriwimple and Bildrath of Bildrath mercantile - realizing that he has stuff that was stolen from the party by the band of Vistani in the 1st session; they also realize that Bildrath prices are exuberant - Back in the streets they meet an old lady (Morgantha) selling the pies - Zerio desides to try one and gains positive effects of euphoria (+1 to all ability modifiers) - this will last only a day, when the hangover will revert his ability modifiers to -1 until another pie is eaten or a CON save that can be made once per day; Morgantha also shares the party the rest of the pie, but a local woman jumps at the party and begs for it - they party decides to part with it, seeing that they are being surrounded by other villagers that are not very friendly - In the Blood on the Vine tavern they meet the bartender Arik, get the price list and order food and bedroom for a couple of SP, they talk to the owners - 3 Vistana women who are not too keen on the visitors; and lastly they meet Ismark Kolyanovich who tells them the story of adventurers and villagers who ambushed Strahd but were killed (except one) and how his father was driven to death by Strahd because he didn’t stop these adventurers; burgomaster is now dead and his daughter is being hunted by Strahd - Ismark asks the party to protect his sister Ireena and give a proper burial to his father Kolyan Iindirovich"
6,04-Sep-24,"Zerio, Tuka, Wael, Tinkertop","Day 4: Eyule 17th, year 735 of Barovian Calendar (morning)","Village of Barovia, Barovian cemetery","- In the Blood on the Vine tavern of the village of Barovia, the party meet Ismark Kolyanovich, the burgomasters son - they promise to help him protect his sister Ireena and give a proper burial to his father Kolyan Iindirovich. - Meanwhile Tinkertop explores the inside of the fold-space of the Cat Tiara - inside it befriends the 8-legged 500kg black feline - true form of the Cat. - The party follows Ismark and meet with his sister, Ireena Kolyana, mourning along the dead body of their father. - Tuka attunes to the Cat Tiara and summons both the Cat and Tinkertop from its depths. Tinkertop emerges missing his arm - he severed due to incredible pain caused by a curse from his previous life. - The mansion is attacked by a pack of wolves - the party are able to fight them back. - The part spend the night and help Kolyan family to bring their father’s body to the Church, where they meet Father Donovich - praying and grieving - his son, Doru, screaming uncontrollably from the Undercroft of the Church - turned to vampire spawn a year ago, he wasn’t fed by Donovich since then; trying to find remedy for his condition. - They bring the body to the cemetery - Kolyan’s tomb ready for his burial. - A dark carriage pulls to the gates of the cemetery during the ceremony - stepping out a dusk elf and his master - a gentlemen in noble black dress, Strahd himself; summoning Ireena (”Tatyana, come with me!..”) to follow him to the castle; the party stop this, and Strahd leaves; but he summons a pack of his zombies to scare off the party - he materializes an invitation letter on one of their bodies for the party to find, in case they survive and continue their travels with Ireena - an attempt to get closer to them but also a ruse to bring Ireena with them - **the berry doesn’t permiate magic energy**; anything **lower** and the land corrupts this edible - the berries turn out **black and clearly rotten** *(and if consumed they make you throw up, reduce your HP by 1 and require you to eat soon or gain a level of exhaustion)*"
7,13-Sep-24,"Zerio, Tuka, Wael, Tinkertop","Day 4: Eyule 17th, year 735 of Barovian Calendar (morning - evening)",Village of Barovia > Tser Path > Crossroads > Tser Pool Vistani Camp,"- A dark carriage pulls to the gates of the cemetery during the ceremony - stepping out a dusk elf and his master - a gentlemen in noble black dress, Strahd himself; summoning Ireena (”Tatyana, come with me!..”) to follow him to the castle; the party stop this, and Strahd leaves; but he summons a pack of his zombies to scare off the party - he materializes an invitation letter on one of their bodies for the party to find, in case they survive and continue their travels with Ireena - an attempt to get closer to them but also a ruse to bring Ireena with them - The party are given the book of Morninglord psalms and prayers by Father Donavich - he asks them to at least think about how they can help Doru; the party follows Ireena and Ismark to get their stuff from the burgomaster mansion; the party decides to make final preparations - skin the wolves, prep them for curing, cook the meat; they finally set off West of the village - The weather is clear, as they approach the 1st bridge across the Ivlis river, they note the fog rising from the river instantaneously and a sceletal figure and a horse pointing it’s weapon North-West (towards Argynvostholt), then it points at Zerio and lives, the fog dies down and a beatuiful shield with a dragon motiff is left behind for the party to pick up - The party decideds to investigate the near forest where the rider was pointing to; there they find a sceleton with a signet ring (dragon ring) and a revenant hunting wolves - his name Dosyir - a paladin of the Silver Dragon become revenant at odds with the rest of the revenants of the Argynvostholt - he still beleives that Strahd and his spies need to die, and he demands, recognizing Zerio as one of them, the party go to Argynvosthold and demand their commander Vladimir Horngaard joins him, Dosyir, in his quest to destroy Strahd - The party proceed further towards West - at the crossroads, they meet 2 grave-robbers, Piotr and Ivan, who try to run, but stopped by a stray bolt to their back; the party heals them but demands they bury the body parts back behind the gallows where they were burried - Piotr and Ivan tell they come from the Vallaki slums and that they heard that the Abbot of the Abbey of st. Markovia pays good money for the body parts - The party elect to go North from the Crossroads, towards the Tser Pool, there they hear sounds of joy and music coming from a lake camp - it ends up a Vistani clan camp wearing the blue scarfs (Tser Pool Vistani, under the leadership of Madam Eva) - they are welcomed as important guests, to join theur rutyak dancing (Prastonata) and story-telling (Doroq) - they tell the story of the Death House - back the Vistani tell the story of the Lion (Leo Dilisniya - see [Vistani](https://www.notion.so/Vistani-eb7f55e1c8bb46789d912fc74d911e9d?pvs=21)); and also of the wizard that came a year ago and rallied villagers against Strahd, they saw them fall from the Pillar of Ravenloft as they failed this attempt - his body never was found - The party meet Petra, the Vistani merchant, he barters them a Ring of Warmth (still to be discovered) - for a Durst jewelery box and 3 windmill signet rings in it - The party proceed to the main tent of the camp - to Madam Eva - she knows they are coming, names their names, says a couple of their words about why they are here and proceeds to tell them the fortune of ravenloft as well as their personalized readings - see [Campaign Notes](https://www.notion.so/Campaign-Notes-3167c9851e7d4a68abd676e92478e677?pvs=21) OR [Session 7 - Tser Path](https://www.notion.so/Session-7-Tser-Path-b082d248ee0c446c8ed1e6baa5483002?pvs=21) for details of the reading ![image.png](image%202.png)"
8,27-Sep-24,"Zerio, Tuka, Wael, Tinkertop","Day 4: Eyule 17th (evening) - Day 5 >> Eyule 18th (early evening), year 735 of Barovian Calendar",Tser Pool Vistani Camp> Crossroads > Tser Falls Bridge > Gates of Barovia > Vallaki,"- After the fortune told by Madam Eva - see [Campaign Notes](https://www.notion.so/Campaign-Notes-3167c9851e7d4a68abd676e92478e677?pvs=21) OR [Session 7 - Tser Path](https://www.notion.so/Session-7-Tser-Path-b082d248ee0c446c8ed1e6baa5483002?pvs=21) for details of the reading - the party retreats to their tent for a goods night sleep. During his watch Zerio notes a March of the Dead processsion through the wood down South, up the bridge near the Tser pools and to the gates of Ravenloft - In the morning the party moves towards Vallaki - through the crossroads, Tser falls and near the Gates of Barovia they note a bloody disturbance that leads them to a druid grove, 2 humans chopped up in the middle to create a star - recognizably these are the grave robbers from the last day - Ivan and Piotr - They scout ahead to see if they can find the culprit - noticing 3 strange squat humanoids - redcaps - they dipped their hats into the massacre, but the symbol was created by the mad druids of Barovia - They ambush the redcaps and come out victorious, burning their hats and cloaks - As they proceed North - they note the windmill - unfortunately, Zerio is pulled towards the cart with Morgantha’s pies; they give away themselves and Morgantha steps out to greet them - not looking for trouble, she intices them to help themselves to the last pie - Zerio proceeds in doing so; while the rest of the party investigate the surrounding - inside they hear bickering voices and outside the windmill - a stone circle of strange symbolism - Near the town they note delapidated and abandoned houses, as most of the townsfolk moved out due to dangers existing outside the pallisade of the Vallaki - although their kitchen gardens growing food for the folks of the town are there, they note a little boy running towards the gates of town to alert the guard to incoming party - The party are welcomed into town without much problems - there they find signs of the previous festival and a flyer that calls the townfolk for the Wolfshead Jamborie festival that happened just a couple of days ago - Jorik is given 1ep by Ireena to help him - **the berry doesn’t permiate magic energy**; anything **lower** and the land corrupts this edible - the berries turn out **black and clearly rotten** *(and if consumed they make you throw up, reduce your HP by 1 and require you to eat soon or gain a level of exhaustion)* <aside> 💡"
9,02-Oct-24,"Zerio, Tuka, Wael, Tinkertop","Day 5: Eyule 18th (early evening) - Day 6: Eyule 19th (early morning), year 735 of Barovian Calendar",Vallaki Towhnship > Church of St. Andral,"- The party are welcomed into town without much problems - there they find signs of the previous festival and a flyer that calls the townfolk for the Wolfshead Jamborie festival that happened just a couple of days ago - The local kids - Jorik and Toad Arasek (orphans) help the company to find the Church of St. Andral - traveling along the old Svalich Road they stumple upon the Main Squire - where the preparations on the Wicker Man indicate the next festival “Of the Blazing Sun” which is planned by the Burgomaster Baron Valakovich in 3 days; they also see full stocks - people with sacks beg to free them - Along the way they discover: - the Baron Valakovich is a despot, that organizes these festivals to keep the populace in check - Father Petrovich is managing the St. Andral’s church - he’s been a welcoming light in the darkness that persists around Barovia - Abbey of St. Andral is been haunted for several weeks now - no signs of monks or the famous Black Barm Ale that was supplied by the Abbey - Izek is the captain of the Baron’s militia - a formidable and dreadful fellow - There are many orphans in the city - Toad and Jorik among them (although Toad was adopted by the Araseks) - however, many children missing in the recent time - also reenforced by the missing children posters all over the town - In the St. Andral’s Church they meet with Father Petrovich and discover that not all is well in Vallakia, but the holy bones of St.Andral were protecting them from the evils for centuries now - and many people become residents of the church, Ismark and Ireena decide to stay here while they think about the future - Father Petrovich tells the party in secret that someone broken into the crypt and stole the bones of St. Andral a fortnight ago - he is keeping it a secret not to create panic among the people - he wants the party, as outsiders, to look into it and bring the bones back, as he’s fearing that something horrible might happen without them - emphasized by the fact that a Feast of st.Andral is coming in in 4 days. - The party investigate the looted crypt - Wael finds: - the planks around the entrance was shattered by a metal but not a sharp instrument, markings on the stone and planks suggest it ( = shovel) - inside the little coffin box - empty, but the mess from broken stone - **Fishhook.** A fishhook was found near the old lock of the chest that held St. Andral’s skull. - **Stones Scratched.** The stones around the edge of the crypt where St. Andral’s remains were kept are scratched, indicating that a metal tool was used to pry it open. - **Burlap Twine.** Bits of burlap twine are caught in the stones that sealed the crypt. - **Parchment.** A found scrap of parchment reads “before the feast.” - On discussion with father Petrovich and the groundskeeper boy (Milivoj) they identify the following information - **Izek.** Father Petrovich has noticed Izek, a man known for his loyalty to the burgomaster, standing outside the church during services, watching those who come and go. - **Wachter Boys.** The father caught the Wachter boys, Nikolai and Karl, sneaking around the graveyard one night. Milivoj als confirms this - seeing them go into the church prior the strange banging sounds coming from the church and them getting away. - A ghostly apparation seen near the crypt of Lovina Wachter - The party decided to spend their night on the cemetery to see anything unusual (random encounter roll 20) - as they are ambushed by 11 sekeletons; they call for help and Father Petrovich, Ismark and Ireena come rushing to their help. Upon disposal - Father Petrovich see it as a sign - the holy power of the St.Andral isn’t able to protect the Church anymore. - The party devise a plan - spread a misinformation that “new st.Andral bones” were found in the abbey of St. Andral and placed within the same crypt - father Petrovich to spread this happy momemnt with parishers, so they can lure the culprit to try and steal the non-existing bones - father promised to start this in the morning - As they spend the night in the church huddled up - in the morning (random roll = Cultists), Lady Wachter and her followers step into the church dramatically… - **the berry doesn’t permiate magic energy**; anything **lower** and the land corrupts this edible - the berries turn out **black and clearly rotten** *(and if consumed they make you throw up, reduce your HP by 1 and require you to eat soon or gain a level of exhaustion)* <aside> 💡"
10,23-Oct-24,"Zerio, Tuka, Wael, Tinkertop","Day 6: Eyule 19th (early morning), year 735 of Barovian Calendar - Day 6: Eyule 19th (late evening), year 735 of Barovian Calendar",Vallaki Towhnship > Church of St. Andral > Blue Water Inn > Lake Zarovich > Vallaki Vistani Camp,"- The party devise a plan - spread a misinformation that “new st.Andral bones” were found in the abbey of St. Andral and placed within the same crypt - father Petrovich to spread this happy momemnt with parishers, so they can lure the culprit to try and steal the non-existing bones - Lady Wachter and her followers step into the church dramatically; she challenges the church and father Petrovich, denouces the Morninglord and St. Andral, as well as the burgomaster and his mockery against Strahd von Zarovich, and preaches on service to Lord Zarovich; the party challenge her, and she dismisses their attitude as being naive and not knowing the way of the Barovia land; she’s still interested to meet them in private at her mansion the Wachterhouse - Wael decides to follow her in secret, she visit a bookstore on the Main Square (looking for inducting its owner into her cult; as he was eager to be in such a highly regarded company); she then proceeds to her mansion on the Lake Street, where Wael decided to stop his pursuit - Zerio and Tuka employ Toad to lead them to one of the Inns - Blue Water Inn; where the Wachter boys (one of their leads) are known to hang out sometimes; outside the church they meet Izek, who is looking into several suspects against the burgomaster (including lady Wachter) - Zerio and Tuka enters the Blue Water Inn - it’s early morning, so it’s only opening up for business; they find 2 drunks sleeping on the table, with half a bottle of wine left their - Wachter boys are in no state to testify; but by curing one of them, they discover that these 2 are looking for trouble and drink all over the town, including fishing out the great monster of the Lake and finding the traces of the ghost in the cemetery behind the church; they don’t seem to be the ones who stole the bones though, even though it seems they cannot be really trusted with good memory // **unfortunately the party do not cross-examine them on the ghost (who told them about the ghost) and if what Milivoj told the party is completely true** - Urwin Martikov and his wife tend to the party and provide them with the pricelist of services; the kitchen is opened by noon and they get a nice lunch from the Inn; Urwin sees the party has a knack for survival and asks them if they could help him investigate the recent shortage of wine deliveries from the Wizard of Wines winery in the West - he will be forever greatful if they could resolve this and bring good news back, and will provide them with a free board and service - The party follow the lead from the Wachters - Bluto Krogarov’s fishing hook - they find his home empty though; they hear screaming from the North - the Zarovich gate is being occupied by a giant abomination, a see through barmy amoeba slithering towards the town and absorbing anything in its way; the party kill the thing and save some of the victims and then proceed to the Lake, finding the Abbey smoking at the main building and the gates broken in, they decide not to chance their fate - At the lake they see a strange scene - Bluto is sitting in a boat in the middle and fishing, then he takes out a sacke that is moving around and throws it out of the boat. The party take up the oars and fish out the sack - inside a little but feisty girl, vistani Arabelle; she tells the party how Bluto abducted her and locked at his home yesterday and then carried her back to the lake to sacrifice to some Lake God - Bluto under influence of the Barmy Abbey God, doesn’t remember anything though; as the party cure him and read his thoughts, he remembers everyone who he sold the fishing equipment and fish recently (Ahab; Wachters; Black water tavern owners and blue water inn Martikovs), but unfortunately the party doesn’t ask him exactly about who he might have givne the equipment for free and thus they do not recognize that Bluto is sometimes fishes with Milivoj and shares his equipment with him - The party decide to follow Arabelle’s lead - by evening they reach the Vallaki Vistani camp - **the berry doesn’t permiate magic energy**; anything **lower** and the land corrupts this edible - the berries turn out **black and clearly rotten** *(and if consumed they make you throw up, reduce your HP by 1 and require you to eat soon or gain a level of exhaustion)* <aside> 💡"
